import_country,export_country,unknown1,trade,trade_prime,dist1,dist2,dist3,dist4,dist5,dist6,border,r_and_d,human_capital,density,labor,wage,common_language,both_in_EU,both_in_EFTA,distance,edu_year
3,11,90,-2.703,2.167,0,0,0,0,1,0,0,2.805,0.013,0.032,2.935,-0.165,0,0,0,5.887,9.47
3,12,90,-0.76,0.254,1,0,0,0,0,0,1,0.614,0.013,0.126,0.406,-0.01,0,1,0,0.106,9.47
3,13,90,-5.947,-2.502,0,0,0,0,0,1,0,-2.754,-0.009,-3.247,-1.004,-0.651,0,0,0,11.626,9.27
3,14,90,-3.745,-0.755,0,1,0,0,0,0,0,-0.979,-0.012,-3.201,-0.654,0.077,0,0,0,0.675,9.24
3,15,90,-4.392,-1.272,0,0,1,0,0,0,0,-3.11,-0.361,-1.098,0.065,-1.396,0,1,0,1.064,6.52
3,16,90,-3.186,0.889,0,0,1,0,0,0,0,-0.59,0.037,-1.427,1.226,-0.488,0,1,0,0.817,9.7
3,17,90,-2.691,0.69,0,0,1,0,0,0,0,0.314,0.031,-2.828,0.068,0.04,0,0,0,0.798,9.64
3,18,90,-1.342,2.381,1,0,0,0,0,0,0,2.245,-0.095,-0.316,1.92,-0.225,0,1,0,0.199,8.5
3,19,90,-1.802,2.734,0,0,0,0,1,0,0,4.195,0.257,-2.487,3.387,0.086,0,0,0,4.153,12.09
4,1,90,-6.646,-5.926,0,0,0,0,0,1,0,-1.232,-0.135,-0.181,-0.489,-0.359,1,0,0,10.009,8.72
4,2,90,-6.315,-6.502,0,0,0,0,1,0,0,-1.553,-0.152,3.542,-1.285,-0.223,0,0,0,4.091,8.57
4,3,90,-6.057,-9.442,0,0,0,0,1,0,0,-0.687,-0.065,4.795,-1.159,0.046,0,0,0,3.535,9.35
4,4,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.98
4,5,90,-6.897,-7.796,0,0,0,0,1,0,0,-1.773,-0.368,3.806,-1.532,-0.087,0,0,0,3.675,6.91
4,6,90,-6.435,-6.096,0,0,0,0,1,0,0,-1.736,0.082,1.717,-1.643,0.151,0,0,0,3.906,10.83
4,7,90,-4.467,-4.037,0,0,0,0,1,0,0,1.308,-0.045,3.664,0.674,0.051,0,0,0,3.519,9.54
4,8,90,-4.091,-3.429,0,0,0,0,1,0,0,1.726,0.034,4.559,0.841,0.1,0,0,0,3.816,10.33
4,9,90,-8.501,-8.851,0,0,0,0,1,0,0,-4.134,-0.172,3.362,-1.231,-0.783,0,0,0,4.822,8.4
4,10,90,-4.801,-3.958,0,0,0,0,1,0,0,0.397,-0.089,4.277,0.568,-0.17,0,0,0,4.198,9.13
4,11,90,-3.195,-1.71,0,0,0,0,0,1,0,2.119,-0.052,4.828,1.776,-0.119,0,0,0,6.429,9.47
4,12,90,-5.963,-8.334,0,0,0,0,1,0,0,-0.073,-0.052,4.921,-0.754,0.036,0,0,0,3.508,9.47
4,13,90,-7.065,-7.006,0,0,0,0,0,1,0,-3.44,-0.074,1.548,-2.163,-0.605,1,0,0,8.994,9.27
4,14,90,-5.641,-6.036,0,0,0,0,1,0,0,-1.665,-0.077,1.594,-1.813,0.124,0,0,0,3.486,9.24
4,15,90,-7.523,-7.789,0,0,0,0,1,0,0,-3.797,-0.426,3.697,-1.094,-1.35,0,0,0,3.358,6.52
4,16,90,-6.275,-5.585,0,0,0,0,1,0,0,-1.277,-0.028,3.368,0.067,-0.442,0,0,0,3.543,9.7
4,17,90,-5.495,-5.499,0,0,0,0,1,0,0,-0.372,-0.035,1.968,-1.091,0.086,0,0,0,3.731,9.64
4,18,90,-3.934,-3.597,0,0,0,0,1,0,0,1.558,-0.161,4.479,0.761,-0.179,1,0,0,3.341,8.5
4,19,90,-0.883,0.268,0,1,0,0,0,0,1,3.508,0.192,2.308,2.228,0.132,1,0,0,0.648,12.09
5,1,90,-6.919,-5.3,0,0,0,0,0,1,0,0.541,0.233,-3.987,1.043,-0.272,0,0,0,9.968,8.72
5,2,90,-4.275,-3.564,0,1,0,0,0,0,0,0.219,0.215,-0.264,0.247,-0.136,0,0,0,0.545,8.57
5,3,90,-3.392,-5.879,0,1,0,0,0,0,0,1.086,0.302,0.989,0.373,0.133,0,1,0,0.475,9.35
5,4,90,-5.922,-5.023,0,0,0,0,1,0,0,1.773,0.368,-3.806,1.532,0.087,0,0,0,3.675,9.98
5,5,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.91
5,6,90,-3.409,-2.173,0,1,0,0,0,0,0,0.037,0.449,-2.089,-0.111,0.239,0,0,0,0.55,10.83
